Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6835045'],"06 436 01 0 00 SPIN ON FILTER FOR LUBRICATING OIL,4H 024 13 0 00 SAFETY ELEMENT,4H 024 12 0 00 PRIM",[55],Ministry of Defence Department of Defence,2025-10-29T12:45:01Z,2025-10-29T12:45:01Z,No
['GEM/2025/B/6835003'],"Ghillie Suit,Speedometer,Camo Stick,Digital Cloth Combat,Spray Paint Brown,Spray Paint Black,Spray ",[26],Ministry of Defence Department of Military Affairs,2025-10-29T12:53:14Z,2025-10-29T12:53:14Z,No
['GEM/2025/B/6835971'],500 KVA TRANSFORMER with accessories,[1],Ministry of Education Department of Higher Education,2025-10-29T15:24:58Z,2025-10-29T15:24:58Z,No
['GEM/2025/B/6834783'],PC Operated Monochromator with accessories,[1],Ministry of Education Department of Higher Education,2025-10-29T12:14:12Z,2025-10-29T12:14:12Z,No
['GEM/2025/B/6816443'],"Zoff Turmeric Whole and Ground,Zoff Chili Powder,Coriander Powder,Biryani Masala,MDH Garam Masala,M",[2152],Ministry of Defence Department of Military Affairs,2025-10-23T12:31:01Z,2025-10-23T12:31:01Z,No
['GEM/2025/B/6833905'],"Fuel Pump Assy,AVR Eicher,AVR,Carbon Holder,Fuel Filter,Oil Filter,Injector Nozzle,Alternator Assy,",[12],Ministry of Defence Department of Military Affairs,2025-10-29T09:59:12Z,2025-10-29T09:59:12Z,No
['GEM/2025/B/6833859'],"Omni Directional Antenna Assy Housing,CF Arm,VIO Dome,32 Pin Nav Cam Cable,Propellers,LED lens",[6],Ministry of Defence Department of Military Affairs,2025-10-29T09:50:39Z,2025-10-29T09:50:39Z,No
['GEM/2025/B/6774257'],"Mechanically Woven, Double - Twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses and Rock Fall N",[7541],Ministry of Defence Department of Defence,2025-10-29T09:54:01Z,2025-10-29T09:54:01Z,No
['GEM/2025/B/6833877'],"Cyl Head Assy,Head Gasket,Oil Filter,Fuel Filter,Fuel Pipe 19x19",[9],Ministry of Defence Department of Military Affairs,2025-10-29T10:01:07Z,2025-10-29T10:01:07Z,No
['GEM/2025/B/6833852'],"Fuel Filter,Oil Filter,Fuel Pipe,ISO Prophyl,Ana Bond Tube,Thread Tape,Insulation Tape,Alidade,M Se",[78],Ministry of Defence Department of Military Affairs,2025-10-29T10:02:19Z,2025-10-29T10:02:19Z,No
['GEM/2025/B/6833830'],"Timing Belt,Fan Belt,Engine Mtg Pad,IAC Motor,Ignition Coil,Head Gasket,Clutch Fan,Spark Plug,Injec",[98],Ministry of Defence Department of Military Affairs,2025-10-29T10:03:15Z,2025-10-29T10:03:15Z,No
['GEM/2025/B/6833798'],"Axle Tube Seal,Rear Hub Seal,Front Hub Seal,Knuckle Bush,Pressure Plate,Clutch Cyl Assy,Sleeve Cyl ",[106],Ministry of Defence Department of Military Affairs,2025-10-29T10:04:07Z,2025-10-29T10:04:07Z,No
['GEM/2025/B/6838401'],"20 mm CPVC 45 Degree elbow,CP 2 in 1 Bib Cock 15mm,Cp Bib Cock 15 mm,M Seal 100 gram,Screw 35 by 8,",[1646],Ministry of Education Department of Higher Education,2025-10-30T10:55:22Z,2025-10-30T10:55:22Z,No
['GEM/2025/B/6833859'],"Omni Directional Antenna Assy Housing,CF Arm,VIO Dome,32 Pin Nav Cam Cable,Propellers,LED lens",[6],Ministry of Defence Department of Military Affairs,2025-10-29T09:50:39Z,2025-10-29T09:50:39Z,No
['GEM/2025/B/6774257'],"Mechanically Woven, Double - Twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses and Rock Fall N",[7541],Ministry of Defence Department of Defence,2025-10-29T09:54:01Z,2025-10-29T09:54:01Z,No
['GEM/2025/B/6833877'],"Cyl Head Assy,Head Gasket,Oil Filter,Fuel Filter,Fuel Pipe 19x19",[9],Ministry of Defence Department of Military Affairs,2025-10-29T10:01:07Z,2025-10-29T10:01:07Z,No
['GEM/2025/B/6833852'],"Fuel Filter,Oil Filter,Fuel Pipe,ISO Prophyl,Ana Bond Tube,Thread Tape,Insulation Tape,Alidade,M Se",[78],Ministry of Defence Department of Military Affairs,2025-10-29T10:02:19Z,2025-10-29T10:02:19Z,No
['GEM/2025/B/6833830'],"Timing Belt,Fan Belt,Engine Mtg Pad,IAC Motor,Ignition Coil,Head Gasket,Clutch Fan,Spark Plug,Injec",[98],Ministry of Defence Department of Military Affairs,2025-10-29T10:03:15Z,2025-10-29T10:03:15Z,No
['GEM/2025/B/6833798'],"Axle Tube Seal,Rear Hub Seal,Front Hub Seal,Knuckle Bush,Pressure Plate,Clutch Cyl Assy,Sleeve Cyl ",[106],Ministry of Defence Department of Military Affairs,2025-10-29T10:04:07Z,2025-10-29T10:04:07Z,No
['GEM/2025/B/6838401'],"20 mm CPVC 45 Degree elbow,CP 2 in 1 Bib Cock 15mm,Cp Bib Cock 15 mm,M Seal 100 gram,Screw 35 by 8,",[1646],Ministry of Education Department of Higher Education,2025-10-30T10:55:22Z,2025-10-30T10:55:22Z,No
