Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6812510'],Event or Seminar or Workshop or Exhibition or Expo Management Service - National; OUTSOURCING OF SE,[1],Ministry of Defence Department of Military Affairs,2025-10-24T14:49:19Z,2025-10-24T14:49:19Z,No
['GEM/2025/B/6812508'],"Universal protection kit,Cheatle jar,Urobag with urometer,Throat pack-size-10m roll,Unisex urinal p",[1957],Ministry of Labour and Employment Employees State Insuarnce Corporation,2025-10-25T13:36:09Z,2025-10-25T13:36:09Z,No
['GEM/2025/B/6812485'],LED Luminaire for High Bay Lighting,[25],Department of Space Department of Space,2025-10-24T17:13:54Z,2025-10-24T17:13:54Z,No
['GEM/2025/B/6812320'],Event or Seminar or Workshop or Exhibition or Expo Management Service - National; OUTSOURCING OF SE,[1],Ministry of Defence Department of Military Affairs,2025-10-24T14:59:48Z,2025-10-24T14:59:48Z,No
['GEM/2025/B/6811419'],Sodium silicate for CO&CCP,[90000],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25T17:51:38Z,2025-10-25T17:51:38Z,No
['GEM/2025/B/6811271'],"Custom Bid for Services - Reception, Housekeeping, Catering and Canteen Services",[1],PMO Department of Atomic Energy,2025-10-24T10:33:27Z,2025-10-24T10:33:27Z,No
['GEM/2025/B/6810662'],Custom Bid for Services - Schedule A Hiring of four and half Ton two trucks for SSE Bridges Central,[2],Ministry of Railways Indian Railways,2025-10-24T17:45:32Z,2025-10-24T17:45:32Z,No
['GEM/2025/B/6805195'],"Live disk Analysis tool,Incident response kit,Forensic Laptop,Forensic work Station",[4],Home Department Andhra Pradesh,2025-10-24T13:35:02Z,2025-10-24T13:35:02Z,No
['GEM/2025/B/6763568'],Computer Monitor,[1],Ministry of Defence Department of Defence,2025-10-07T18:33:41Z,2025-10-07T18:33:41Z,No
['GEM/2025/B/6720090'],DIGITAL BEHIND THE EAR VESUVIO XTM XP P4 (SIGNIA),[6],Ministry of Defence Department of Military Affairs,2025-10-24T11:53:25Z,2025-10-24T11:53:25Z,No
['GEM/2025/B/6783070'],INDEGENOUS DRY GUNNING COMPOUND FOR COKE OVENS,[150],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-24T12:47:02Z,2025-10-24T12:47:02Z,No
['GEM/2025/B/6783039'],"Mullite shape 31930M,Mullite shape 31941M,Mullite shape 31946M,Mullite shape 31983M,Mullite shape 3",[41710],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25T10:26:54Z,2025-10-25T10:26:54Z,No
['GEM/2025/B/6765140'],Endovenous Laser Treatment System,[1],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-24T11:42:22Z,2025-10-24T11:42:22Z,No
['GEM/2025/B/6776374'],Custom Bid for Services - PROVIDING LANDSCAPING AND ARBORICULTURE AT STF TOTAL PRICE,[1],Ministry of Defence Department of Military Affairs,2025-10-22T16:59:07Z,2025-10-22T16:59:07Z,No
['GEM/2025/B/6776105'],"Supply, Testing, Installation and Commissioning of HCL transfer pump along with accessories",[1],Ministry of Defence Department of Military Affairs,2025-10-21T12:20:31Z,2025-10-21T12:20:31Z,No
['GEM/2025/B/6769477'],"16 port NVR,PTZ Camera,IP66 Bullet Camera,10 TB surveillance HDD,49 inch LED smart TV with wall mou",[1091],Ministry of Defence Department of Military Affairs,2025-10-22T12:05:46Z,2025-10-22T12:05:46Z,No
['GEM/2025/B/6762809'],PROCUREMENT OF HYDRAULIC POWER HACKSAW MACHINE 14 INCH,[1],Ministry of Defence Department of Military Affairs,2025-10-21T12:19:08Z,2025-10-21T12:19:08Z,No
['GEM/2025/B/6760672'],PLC Based Control and Operating Panel,[1],PMO Department of Atomic Energy,2025-10-21T14:18:48Z,2025-10-21T14:18:48Z,No
['GEM/2025/B/6758978'],"TERM BLK, TERMINAL BLOCK, 2.5MM² , 600V",[2000],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23T16:36:17Z,2025-10-23T16:36:17Z,No
['GEM/2025/B/6758005'],Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Others,[8],Ministry of Defence Department of Military Affairs,2025-10-21T12:17:32Z,2025-10-21T12:17:32Z,No
['GEM/2025/B/6753325'],Warranty for 14 Nos of Extreme X460-G2 Switches,[1],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-18T17:27:07Z,2025-10-18T17:27:07Z,No
['GEM/2025/B/6752714'],Digital Radiography System 1000mA with Wireless dual flat panel detection (Mid End),[1],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T12:36:58Z,2025-10-23T12:36:58Z,No
['GEM/2025/B/6748293'],Custom Bid for Services - Outsourcing of Services for Renovation/Refurbishment of Wardroom,[1],Ministry of Defence Department of Military Affairs,2025-10-23T00:09:25Z,2025-10-23T00:09:25Z,No
['GEM/2025/B/6743338'],"Portable Fire Extinguishers (V2) ISI Marked to IS 15683,Portable Fire Extinguishers (V2) ISI Marked",[900],Department of Space Department of Space,2025-10-21T13:38:12Z,2025-10-21T13:38:12Z,No
['GEM/2025/B/6725188'],"ANNUAL CONTRACT FOR SUPPLY OF KABULI CHANA 05 KGS,ANNUAL CONTRACT FOR SUPPLY OF KABULI CHANA 10 KGS",[87190],Ministry of Defence Department of Military Affairs,2025-10-21T15:11:43Z,2025-10-21T15:11:43Z,No
['GEM/2025/B/6820217'],Custom Bid for Services - Schedule A Hiring of Non-AC base model Multi utility vehicle with one ton,[2],Ministry of Railways Indian Railways,2025-10-24T17:54:01Z,2025-10-24T17:54:01Z,No
